"thumb","url","text","likes","comments","shares"
,"https://www.facebook.com/sliceitt/posts/pfbid0i2ho7CnuyHi3zKX8E7KSxisqb3FAA7Fw9CgMjfhyw9QchVhYVkXg5yNZDUcjiZerl","🍜 Caption this rogue ramen escape! 🤔
Tag a friend who'd chase down this rogue ramen! 🍜🏃‍♂️","6","3","0"
,"https://www.facebook.com/sliceitt/posts/pfbid03524tKtHREgt5wRXTbvhjGUXYsVPibkqssLxkuTUaQpJe1dD37QczGoS9g2oVaijml","What other institutions should exist? Tell us in the comments!","5","3","0"
,"https://www.facebook.com/sliceitt/posts/682799777207128","Only those with the grit to face the unfamiliar can witness new stories unfold 🌚 🚀 🎉","27","5","0"
,"https://www.facebook.com/sliceitt/posts/pfbid0347eW1qehTWJmWnsf8H1HkDjFYbdU9ma7LAKYD5xzJfVu2H1FpaZfqyG1fTYcWCBGl","Drop your &ID in the comments and if no one replies to your comment, you stand a chance to win a set of Nanoleaf lights! 

Contest ends 28/07 11:59pm.","11","14","0"
,"https://www.facebook.com/sliceitt/posts/pfbid0whgKemvUs6KUwix3SzqPyQ1aLhwMoVaKTsxHMcZ9kYBGYBW7AVP9qsFRhxSedoHhl","Wish we could go back in time. . . 🙊🙊🐒","22","1","3"
,"https://www.facebook.com/sliceitt/posts/pfbid0xCct6Uvkt3ouvsinDthSD2eiAW4st65ngmwgEc4cC5GmvvmqLcFc8muvRT35MZpcl","What is your “But bro….” Situation? Tell us in the comments.","13","2","0"
,"https://www.facebook.com/sliceitt/posts/pfbid0W7qjV8Ld79GWUPy84EaFaHGgAisc1DBXFSHZ4YQW2pdMzoyy78YXH9d9crSUb8dCl","Give this award to that friend. . . Tag them or DM them. . .","14","4","1"
,"https://www.facebook.com/sliceitt/posts/pfbid0jtVcW15NS2YgHyk2veLadonwnWjAYgXZJzkV2MX24jE4DagfgfE3rv2sE8XQ5iVyl","Bear market","20","2","1"
,"https://www.facebook.com/sliceitt/posts/pfbid02mwrqsXjyYhWcjzkebiuz21qmbprG9UYjDwtjKNk9X4PUSD8bNLptnCxkSpVsx6djl","What do you do to manage budgets? Tell us in the comments!","16","5","0"
,"https://www.facebook.com/sliceitt/posts/pfbid02NdjHNJNKQPM31qqvE71w8kd8NwPwSPBv2GS7Z4xSvRrtdJPDH5mcKZW6nAURPGsMl","which one of these is your dad? 👀","10","1","1"
